"ObsTime","avg_price_per_kg","vege_id","StnPres","Temperature","RH","WS","Precp","typhoon"
2022-01-01,9.12,45,1013.13,17.67,81.93,1.90,0.79,0
2022-01-01,9.94,43,1017.14,17.88,77.57,2.81,0.40,0
2022-01-01,22.66,32,1022.25,17.65,75.32,3.85,0.00,0
2022-01-01,19.44,14,1018.88,17.11,76.35,3.12,0.00,0
2022-01-01,11.19,9,1022.58,17.46,77.57,3.50,0.22,0
2022-01-01,19.23,47,1003.93,18.02,74.59,2.53,0.03,0
2022-01-01,18.89,7,1019.23,17.17,76.11,3.19,0.00,0
2022-01-01,16.28,10,1013.23,17.29,79.23,2.71,0.44,0
2022-01-01,24.00,36,1019.73,18.47,73.26,3.28,0.03,0
2022-01-01,19.96,50,1001.97,17.00,76.33,2.75,0.00,0
2022-01-01,30.83,27,966.99,15.60,79.11,1.54,0.01,0
2022-01-01,20.53,2,1016.58,17.06,76.34,3.04,0.00,0
2022-01-01,10.94,31,1022.03,17.66,75.57,3.85,0.00,0
2022-01-01,32.37,13,1018.88,17.11,76.35,3.12,0.00,0
2022-01-01,23.92,42,1006.42,17.64,74.95,2.88,0.01,0
2022-01-01,11.56,16,1022.40,17.70,74.00,3.80,0.00,0
2022-01-01,37.05,37,1004.68,17.35,76.23,2.07,0.03,0
2022-01-01,45.86,6,1021.66,17.58,74.49,3.66,0.00,0
2022-01-01,24.83,52,1017.14,17.52,78.03,3.46,0.00,0
2022-01-01,19.75,29,1022.49,17.63,75.13,3.85,0.00,0
2022-01-01,34.80,46,1012.82,18.71,73.12,2.59,0.04,0
2022-01-01,30.28,41,1000.85,18.45,73.77,2.24,0.06,0
2022-01-01,27.48,4,1016.53,16.72,77.91,2.67,0.00,0
2022-01-01,29.90,39,1017.50,17.11,76.47,3.02,0.00,0
2022-01-01,48.37,34,976.02,15.79,83.73,0.99,0.73,0
2022-01-01,18.75,8,1019.23,17.17,76.11,3.19,0.00,0
2022-01-01,37.17,51,1022.33,17.70,74.10,3.81,0.00,0
2022-01-01,28.11,33,1014.39,17.32,74.66,3.28,0.00,0
2022-01-01,10.73,3,1004.62,16.64,79.68,2.44,0.39,0
2022-01-02,9.70,45,1011.68,17.93,81.21,2.05,0.49,0
2022-01-02,10.69,43,1015.56,18.05,78.75,2.75,0.25,0
2022-01-02,20.44,32,1020.40,17.79,77.02,4.15,0.00,0
2022-01-02,22.76,14,1017.20,17.34,76.31,3.51,0.00,0
2022-01-02,12.09,9,1020.84,17.58,77.93,4.03,0.03,0
2022-01-02,19.10,47,1002.24,18.21,75.06,2.77,0.07,0
