market_vege_id,vege_name
FA1,¬î¸ª
FB1,ªá·¦µæ
FC1,¤j¶À¥Ê
FD1,¤p¶À¥Ê
FE1,¥V¥Ê
FF1,µ·¥Ê
FF2,ÀÍ¥Ê
FG1,­W¥Ê
FI1,­X¤l
FJ3,¤ûµf­X
FK3,²¢´Ô
FK5,«C´Ô
FL1,½Ü¨§
FL6,²¢½Ü¨§
FN0,ÓÞ¨§
FN1,¥|©u¨§
FR1,«Cªáµæ
FT1,«n¥Ê
FV1,»¶´Ô
FY1,¥É¦Ì
FY4,¥É¦Ìµ«
LA1,°ªÄRµæ
LB1,¤p¥Õµæ
LC1,¤j¥Õµæ
LD1,«C¦¿µæ
LF1,ªÅ¤ßµæ
LG1,ªàµæ
LH1,µÔµæ
LI1,¤j³°©f
LI5,¬ü¥Íµæ
LI6,ÅÚ½¯
LJ5,«½«½µæ
LK3,ªãÂÅ
LL1,Ó¦»U
LM1,³Aµæ
LN1,ªoµæ
LO1,¦a¥Ê¸­
LP1,­»µæ
LP2,¤E¼h¶ð
LQ1,¬õ»ñµæ
LT1,ÀsÅ½µæ
LT3,¤ô½¬
LX2,¤sÄ¬
SA6,¥ÕÅÚ½³
SB2,¬õÅÚ½³
SC1,°¨¹aÁ¦
SD1,¬v½µ
SE1,½µ
SE5,¬õ½µÀY
SF1,­´µæ
SG3,»[­]
SG5,»[ÀY
SH2,ºñ¦Ëµ«
SJ1,¨¡ÀY
SN1,½¬ÃÂ
SO1,¦a¥Ê
SP1,Á¤
SQ1,ÚÞ¥Õµ«
SU1,¤sÃÄ
SV2,Äªµ«
