vege_id,vege_name,ObsTime,avg_price_per_kg,StnPres,Temperature,RH,WS,Precp,typhoon
20,九層塔,2022/1/1 00:00,63.78,1017.27,18.49,73.01,3.05,0.03,0
60,四季豆,2022/1/1 00:00,72.64,978.47,16.8,76.86,1.34,0.03,0
11,大陸妹,2022/1/1 00:00,22.39,1022.4,17.7,74.0,3.8,0.0,0
38,山藥,2022/1/1 00:00,60.1,949.89,14.49,82.06,1.25,0.0,0
24,山蘇,2022/1/1 00:00,86.75,1020.08,19.0,78.75,1.88,0.73,0
44,櫛瓜,2022/1/1 00:00,36.43,994.91,16.84,82.9,1.63,1.03,0
15,水蓮,2022/1/1 00:00,90.7,1016.58,17.06,76.34,3.04,0.0,0
59,甜豌豆,2022/1/1 00:00,64.75,1022.8,17.4,79.0,4.0,0.0,0
49,秋葵,2022/1/1 00:00,62.66,1021.53,18.03,73.27,3.69,0.01,0
25,茭白筍,2022/1/1 00:00,49.87,930.0,13.7,82.9,0.5,0.0,0
40,紅蔥頭,2022/1/1 00:00,34.73,1021.16,17.79,74.71,3.8,0.0,0
26,綠竹筍,2022/1/1 00:00,162.35,999.18,16.72,76.95,2.49,0.0,0
1,菠菜,2022/1/1 00:00,21.57,1017.76,17.47,75.06,3.22,0.0,0
35,蒜,2022/1/1 00:00,101.19,1022.4,17.7,74.0,3.8,0.0,0
23,蔥,2022/1/1 00:00,84.1,1022.63,17.48,77.51,3.71,0.11,0
28,蘆筍,2022/1/1 00:00,224.56,1022.05,17.62,76.3,3.89,0.0,0
19,蘿蔓,2022/1/1 00:00,48.75,1022.4,17.7,74.0,3.8,0.0,0
55,辣椒,2022/1/1 00:00,48.76,1013.88,17.98,73.95,3.0,0.01,0
18,香菜,2022/1/1 00:00,35.18,1022.54,17.54,76.86,3.91,0.0,0
20,九層塔,2022/1/2 00:00,63.84,1015.6,18.69,74.18,3.21,0.06,0
60,四季豆,2022/1/2 00:00,71.26,976.82,16.87,76.6,1.37,0.05,0
11,大陸妹,2022/1/2 00:00,17.61,1020.6,17.9,75.1,4.0,0.0,0
38,山藥,2022/1/2 00:00,52.18,948.03,14.61,79.5,1.59,0.0,0
24,山蘇,2022/1/2 00:00,89.28,1018.8,19.43,78.41,1.75,0.78,0
44,櫛瓜,2022/1/2 00:00,38.0,993.43,17.12,80.19,1.76,0.13,0
15,水蓮,2022/1/2 00:00,80.74,1014.85,17.25,76.62,3.35,0.0,0
59,甜豌豆,2022/1/2 00:00,63.69,1020.7,17.6,79.5,5.2,0.0,0
49,秋葵,2022/1/2 00:00,74.29,1019.78,17.9,77.74,3.09,0.02,0
25,茭白筍,2022/1/2 00:00,51.86,928.2,13.8,79.5,0.6,0.0,0
40,紅蔥頭,2022/1/2 00:00,38.61,1019.45,17.72,79.61,3.29,0.0,0
26,綠竹筍,2022/1/2 00:00,133.7,997.4,16.66,78.57,2.38,0.0,0
1,菠菜,2022/1/2 00:00,25.63,1016.06,17.66,75.74,3.47,0.0,0
35,蒜,2022/1/2 00:00,90.86,1020.6,17.9,75.1,4.0,0.0,0
23,蔥,2022/1/2 00:00,87.0,1020.76,17.63,78.03,4.42,0.02,0
28,蘆筍,2022/1/2 00:00,179.0,1020.16,17.67,79.01,4.14,0.0,0
19,蘿蔓,2022/1/2 00:00,80.88,1020.6,17.9,75.1,4.0,0.0,0
55,辣椒,2022/1/2 00:00,40.08,1012.16,17.98,76.78,2.79,0.03,0
18,香菜,2022/1/2 00:00,33.12,1020.58,17.72,77.88,4.63,0.0,0
20,九層塔,2022/1/3 00:00,15.0,1014.31,18.99,74.83,3.09,0.03,0
60,四季豆,2022/1/3 00:00,79.57,975.78,17.38,76.44,1.29,0.03,0
24,山蘇,2022/1/3 00:00,71.0,1017.51,19.81,77.16,1.74,0.06,0
59,甜豌豆,2022/1/3 00:00,65.1,1019.6,17.9,80.0,4.8,0.0,0
1,菠菜,2022/1/3 00:00,21.7,1014.66,18.11,75.81,3.4,0.0,0
35,蒜,2022/1/3 00:00,156.7,1019.2,18.2,76.4,3.9,0.0,0
55,辣椒,2022/1/3 00:00,55.07,1010.94,18.33,76.76,2.71,0.01,0
18,香菜,2022/1/3 00:00,41.8,1019.35,18.01,78.6,4.36,0.0,0
11,大陸妹,2022/1/3 00:00,12.88,1019.2,18.2,76.4,3.9,0.0,0
15,水蓮,2022/1/3 00:00,91.92,1013.47,17.8,76.32,3.3,0.0,0
19,蘿蔓,2022/1/3 00:00,67.83,1019.2,18.2,76.4,3.9,0.0,0
23,蔥,2022/1/3 00:00,109.5,1019.5,18.04,78.59,4.17,0.0,0
25,茭白筍,2022/1/3 00:00,62.27,927.4,14.5,79.4,0.6,0.0,0
26,綠竹筍,2022/1/3 00:00,207.4,996.23,17.12,78.73,2.3,0.0,0
28,蘆筍,2022/1/3 00:00,257.6,1018.95,17.95,79.06,3.95,0.0,0
38,山藥,2022/1/3 00:00,65.45,947.16,15.23,79.53,1.5,0.0,0
40,紅蔥頭,2022/1/3 00:00,41.47,1018.14,17.93,78.96,3.28,0.0,0
44,櫛瓜,2022/1/3 00:00,47.0,992.24,17.66,80.57,1.73,0.27,0
49,秋葵,2022/1/3 00:00,100.83,1018.55,18.22,77.54,3.08,0.01,0
20,九層塔,2022/1/4 00:00,72.45,1013.31,19.41,78.57,2.58,0.64,0
60,四季豆,2022/1/4 00:00,66.47,974.82,17.73,78.03,1.16,0.55,0
11,大陸妹,2022/1/4 00:00,23.7,1018.2,18.6,80.4,3.1,0.0,0
38,山藥,2022/1/4 00:00,70.37,946.16,15.57,79.42,1.37,0.0,0
24,山蘇,2022/1/4 00:00,86.3,1016.38,20.4,80.05,1.67,7.27,0
44,櫛瓜,2022/1/4 00:00,43.67,991.34,18.17,83.28,1.33,1.25,0
15,水蓮,2022/1/4 00:00,94.58,1012.27,18.27,80.5,2.9,0.0,0
59,甜豌豆,2022/1/4 00:00,69.77,1018.2,18.4,85.0,4.2,0.0,0
49,秋葵,2022/1/4 00:00,69.93,1017.49,18.64,81.73,2.33,0.2,0
25,茭白筍,2022/1/4 00:00,54.31,926.5,14.8,77.9,0.6,0.0,0
40,紅蔥頭,2022/1/4 00:00,37.26,1017.14,18.51,82.96,2.48,0.0,0
26,綠竹筍,2022/1/4 00:00,106.1,995.17,17.49,81.62,1.79,0.0,0
1,菠菜,2022/1/4 00:00,25.86,1013.59,18.54,80.08,2.87,0.0,0
35,蒜,2022/1/4 00:00,103.05,1018.2,18.6,80.4,3.1,0.0,0
23,蔥,2022/1/4 00:00,83.57,1018.29,18.41,83.83,3.5,0.65,0
28,蘆筍,2022/1/4 00:00,287.12,1017.76,18.44,83.56,3.24,0.0,0
19,蘿蔓,2022/1/4 00:00,29.38,1018.2,18.6,80.4,3.1,0.0,0
55,辣椒,2022/1/4 00:00,36.15,1009.91,18.74,80.55,2.17,0.3,0
18,香菜,2022/1/4 00:00,37.64,1018.13,18.48,83.16,3.68,0.0,0
20,九層塔,2022/1/5 00:00,65.14,1011.2,19.94,81.22,2.14,1.31,0
60,四季豆,2022/1/5 00:00,67.75,972.88,18.38,82.23,1.04,1.13,0
11,大陸妹,2022/1/5 00:00,16.73,1016.3,18.6,84.4,2.5,0.0,0
38,山藥,2022/1/5 00:00,68.09,944.61,15.51,87.16,0.94,0.0,0
24,山蘇,2022/1/5 00:00,94.32,1013.65,21.37,82.06,1.55,2.48,0
44,櫛瓜,2022/1/5 00:00,43.55,988.88,19.08,86.16,1.38,0.4,0
15,水蓮,2022/1/5 00:00,94.1,1010.4,18.23,85.74,2.02,0.05,0
59,甜豌豆,2022/1/5 00:00,61.14,1016.5,18.5,88.5,2.9,0.0,0
49,秋葵,2022/1/5 00:00,71.2,1015.42,19.32,84.84,2.73,0.41,0
25,茭白筍,2022/1/5 00:00,60.25,925.0,14.7,86.8,0.4,0.0,0
40,紅蔥頭,2022/1/5 00:00,37.11,1015.06,19.31,85.55,2.94,0.0,0
26,綠竹筍,2022/1/5 00:00,185.9,993.32,17.9,85.96,1.79,0.0,0
1,菠菜,2022/1/5 00:00,23.14,1011.66,18.62,84.47,2.15,0.03,0
35,蒜,2022/1/5 00:00,99.57,1016.3,18.6,84.4,2.5,0.0,0
23,蔥,2022/1/5 00:00,74.37,1016.33,18.59,86.7,2.6,0.0,0
28,蘆筍,2022/1/5 00:00,251.1,1015.87,18.85,86.78,2.87,0.0,0
19,蘿蔓,2022/1/5 00:00,49.13,1016.3,18.6,84.4,2.5,0.0,0
55,辣椒,2022/1/5 00:00,39.66,1007.86,19.44,83.18,2.19,0.62,0
18,香菜,2022/1/5 00:00,34.04,1016.33,18.59,86.78,2.75,0.0,0
20,九層塔,2022/1/6 00:00,66.01,1012.12,19.13,77.8,4.75,2.85,0
60,四季豆,2022/1/6 00:00,61.89,973.47,17.93,83.12,2.03,3.08,0
11,大陸妹,2022/1/6 00:00,15.96,1017.3,18.0,78.1,5.7,1.5,0
38,山藥,2022/1/6 00:00,77.35,944.96,15.78,87.24,2.01,1.81,0
24,山蘇,2022/1/6 00:00,85.46,1015.9,19.63,82.75,3.06,6.44,0
44,櫛瓜,2022/1/6 00:00,34.35,990.81,17.84,84.93,2.31,1.65,0
15,水蓮,2022/1/6 00:00,89.43,1012.0,17.17,80.87,4.77,3.47,0
59,甜豌豆,2022/1/6 00:00,59.9,1017.4,17.9,81.5,7.2,2.2,0
49,秋葵,2022/1/6 00:00,73.16,1016.41,18.69,79.41,4.34,0.68,0
25,茭白筍,2022/1/6 00:00,54.99,925.2,15.2,88.8,0.6,1.7,0
40,紅蔥頭,2022/1/6 00:00,35.9,1016.06,18.62,80.84,4.37,0.17,0
26,綠竹筍,2022/1/6 00:00,164.05,994.16,17.43,82.8,3.36,1.85,0
1,菠菜,2022/1/6 00:00,21.21,1012.97,17.77,79.45,4.91,2.14,0
35,蒜,2022/1/6 00:00,97.14,1017.3,18.0,78.1,5.7,1.5,0
23,蔥,2022/1/6 00:00,72.5,1017.61,17.84,80.56,6.19,2.39,0
28,蘆筍,2022/1/6 00:00,277.15,1016.82,18.23,80.74,5.68,1.12,0
19,蘿蔓,2022/1/6 00:00,41.83,1017.3,18.0,78.1,5.7,1.5,0
55,辣椒,2022/1/6 00:00,31.65,1008.75,18.69,80.17,3.97,1.91,0
18,香菜,2022/1/6 00:00,31.28,1017.27,17.99,80.2,6.45,1.8,0
20,九層塔,2022/1/7 00:00,60.49,1014.04,18.16,76.76,4.33,1.37,0
60,四季豆,2022/1/7 00:00,66.12,975.32,17.16,85.43,1.94,4.03,0
