vege_id,vege_name,ObsTime,avg_price_per_kg,StnPres,Temperature,RH,WS,Precp,typhoon
45,冬瓜,2022/1/1 00:00,9.12,1013.13,17.67,81.93,1.9,0.79,0
43,南瓜,2022/1/1 00:00,9.94,1017.14,17.88,77.57,2.81,0.4,0
32,地瓜,2022/1/1 00:00,22.66,1022.25,17.65,75.32,3.85,0.0,0
14,地瓜葉,2022/1/1 00:00,19.44,1018.88,17.11,76.35,3.12,0.0,0
9,大白菜,2022/1/1 00:00,11.19,1022.58,17.46,77.57,3.5,0.22,0
47,大黃瓜,2022/1/1 00:00,19.23,1003.93,18.02,74.59,2.53,0.03,0
7,小白菜,2022/1/1 00:00,18.89,1019.23,17.17,76.11,3.19,0.0,0
10,油菜,2022/1/1 00:00,16.28,1013.23,17.29,79.23,2.71,0.44,0
36,洋蔥,2022/1/1 00:00,24.0,1019.73,18.47,73.26,3.28,0.03,0
50,牛番茄,2022/1/1 00:00,19.96,1001.97,17.0,76.33,2.75,0.0,0
27,玉米筍,2022/1/1 00:00,30.83,966.99,15.6,79.11,1.54,0.01,0
2,空心菜,2022/1/1 00:00,20.53,1016.58,17.06,76.34,3.04,0.0,0
31,紅蘿蔔,2022/1/1 00:00,10.94,1022.03,17.66,75.57,3.85,0.0,0
13,紅鳳菜,2022/1/1 00:00,32.37,1018.88,17.11,76.35,3.12,0.0,0
42,絲瓜,2022/1/1 00:00,23.92,1006.42,17.64,74.95,2.88,0.01,0
16,美生菜,2022/1/1 00:00,11.56,1022.4,17.7,74.0,3.8,0.0,0
37,芋頭,2022/1/1 00:00,37.05,1004.68,17.35,76.23,2.07,0.03,0
6,芥藍,2022/1/1 00:00,45.86,1021.66,17.58,74.49,3.66,0.0,0
52,花椰菜,2022/1/1 00:00,24.83,1017.14,17.52,78.03,3.46,0.0,0
29,芹菜,2022/1/1 00:00,19.75,1022.49,17.63,75.13,3.85,0.0,0
46,苦瓜,2022/1/1 00:00,34.8,1012.82,18.71,73.12,2.59,0.04,0
41,茄子,2022/1/1 00:00,30.28,1000.85,18.45,73.77,2.24,0.06,0
4,莧菜,2022/1/1 00:00,27.48,1016.53,16.72,77.91,2.67,0.0,0
39,蓮藕,2022/1/1 00:00,29.9,1017.5,17.11,76.47,3.02,0.0,0
34,薑,2022/1/1 00:00,48.37,976.02,15.79,83.73,0.99,0.73,0
8,青江菜,2022/1/1 00:00,18.75,1019.23,17.17,76.11,3.19,0.0,0
51,青花菜,2022/1/1 00:00,37.17,1022.33,17.7,74.1,3.81,0.0,0
33,馬鈴薯,2022/1/1 00:00,28.11,1014.39,17.32,74.66,3.28,0.0,0
3,高麗菜,2022/1/1 00:00,10.73,1004.62,16.64,79.68,2.44,0.39,0
45,冬瓜,2022/1/2 00:00,9.7,1011.68,17.93,81.21,2.05,0.49,0
43,南瓜,2022/1/2 00:00,10.69,1015.56,18.05,78.75,2.75,0.25,0
32,地瓜,2022/1/2 00:00,20.44,1020.4,17.79,77.02,4.15,0.0,0
14,地瓜葉,2022/1/2 00:00,22.76,1017.2,17.34,76.31,3.51,0.0,0
9,大白菜,2022/1/2 00:00,12.09,1020.84,17.58,77.93,4.03,0.03,0
47,大黃瓜,2022/1/2 00:00,19.1,1002.24,18.21,75.06,2.77,0.07,0
7,小白菜,2022/1/2 00:00,17.31,1017.54,17.4,76.19,3.55,0.0,0
10,油菜,2022/1/2 00:00,21.11,1011.48,17.46,79.55,2.88,0.18,0
